STATION,AÑO,lluvia_emergencia,lluvia_encanazon,lluvia_espigazon,lluvia_floracion,lluvia_llenado_de_grano,lluvia_macollaje,lluvia_siembra,tmax_emergencia,tmax_encanazon,tmax_espigazon,tmax_floracion,tmax_llenado_de_grano,tmax_macollaje,tmax_siembra,tmin_emergencia,tmin_encanazon,tmin_espigazon,tmin_floracion,tmin_llenado_de_grano,tmin_macollaje,tmin_siembra
AR000000004,1990,28.06,133.04,46.779999999999994,115.38,130.95,67.55,4.16,,,,,,,,,,,,,,
AR000000004,1991,107.0,81.0,31.0,5.0,52.0,72.0,43.0,,,,,,,,,,,,,,
AR000000004,1992,60.0,89.0,10.0,23.0,63.0,93.0,5.0,,,,,,,,,,,,,,
AR000000004,1993,21.0,28.0,144.0,38.0,110.0,4.0,6.0,,,,,,,,,,,,,,
AR000000004,1994,139.0,63.0,22.0,70.0,80.0,56.0,26.0,,,,,,,,,,,,,,
AR000000004,1995,46.0,104.0,82.0,67.0,11.0,17.0,13.0,,,,,,,,,,,,,,
AR000000004,1996,14.0,31.0,17.0,112.0,47.0,40.0,4.0,,,,,,,,,,,,,,
AR000000004,1997,59.0,67.0,47.0,45.0,105.0,96.0,33.0,,,,,,,,,,,,,,
AR000000004,1998,83.0,17.0,6.0,32.0,50.0,111.0,50.0,,,,,,,,,,,,,,
AR000000004,1999,67.0,39.0,9.0,10.0,3.0,9.0,99.0,,,,,,,,,,,,,,
AR000000007,1990,17.67,201.65,142.4,66.52,56.12,73.78999999999999,16.63,,,,,,,,,,,,,,
AR000000007,1991,103.0,84.0,26.0,12.0,31.0,69.0,25.0,,,,,,,,,,,,,,
AR000000007,1992,7.0,53.0,16.0,15.0,109.0,77.0,5.0,,,,,,,,,,,,,,
AR000000007,1993,5.0,155.0,174.0,50.0,162.0,2.0,5.0,,,,,,,,,,,,,,
AR000000007,1994,176.0,170.0,20.0,62.0,70.0,131.0,16.0,,,,,,,,,,,,,,
AR000000007,1995,32.0,100.0,57.0,97.0,4.0,8.0,3.0,,,,,,,,,,,,,,
AR000000007,1996,26.0,46.0,21.0,95.0,46.0,36.0,3.0,,,,,,,,,,,,,,
AR000000007,1997,31.0,81.0,72.0,63.0,68.0,126.0,21.0,,,,,,,,,,,,,,
AR000000007,1998,64.0,18.0,11.0,19.0,32.0,122.0,23.0,,,,,,,,,,,,,,
AR000000007,1999,84.0,57.0,10.0,18.0,0.0,3.0,93.0,,,,,,,,,,,,,,
AR000000014,1990,34.3,111.21,75.88,17.669999999999998,69.65,80.03,7.28,,,,,,,,,,,,,,
AR000000014,1991,123.0,37.0,18.0,11.0,71.0,33.0,27.0,,,,,,,,,,,,,,
AR000000014,1992,29.0,71.0,4.0,27.0,39.0,58.0,3.0,,,,,,,,,,,,,,
AR000000014,1993,25.0,141.0,131.0,40.0,115.0,9.0,16.0,,,,,,,,,,,,,,
AR000000014,1994,109.0,114.0,20.0,50.0,95.0,95.0,24.0,,,,,,,,,,,,,,
AR000000014,1995,51.0,81.0,70.0,71.0,16.0,33.0,3.0,,,,,,,,,,,,,,
AR000000014,1996,18.0,51.0,29.0,130.0,33.0,39.0,5.0,,,,,,,,,,,,,,
AR000000014,1997,33.0,50.0,15.0,39.0,48.0,69.0,9.0,,,,,,,,,,,,,,
AR000000014,1998,6.0,26.0,22.0,40.0,43.0,70.0,9.0,,,,,,,,,,,,,,
AR000000014,1999,104.0,23.0,9.0,9.0,0.0,21.0,189.0,,,,,,,,,,,,,,
AR000087257,1990,54.05,87.41,54.25,0.0,74.52000000000001,119.63,28.270000000000003,46.67156862745098,54.067499999999995,55.04545454545455,52.995000000000005,58.214999999999996,46.906666666666666,40.7625,25.54313725490196,35.197500000000005,40.9,35.595,41.7675,27.538333333333334,26.869999999999997
