STATION,NAME,LATITUDE,LONGITUDE
AR000000001,"BAIBENE, AR",-29.6,-58.15
AR000000002,"BONPLAND, AR",-29.82,-57.42
AR000000003,"CAZADORES CORRENTINOS, AR",-29.98,-58.28
AR000000004,"CHAJAR355, AR",-30.78,-58.15
AR000000005,"COLONIA LIBERTAD, AR",-30.03,-57.82
AR000000006,"CONCORDIA, AR",-31.38,-58.02
AR000000007,"CONQUISTADORES, AR",-30.58,-58.45
AR000000008,"CURUZU CUATIA AERO, AR",-29.783,-57.983
AR000000009,"FEDERACI 363N, AR",-31.0,-57.9
AR000000011,"MONTE CASEROS AERO, AR",-30.267,-57.65
AR000000012,"PASO DE LOS LIBRES, AR",-29.73,-57.08
AR000000013,"PUJOL, AR",-30.42,-57.85
AR000000014,"REDOM363N, AR",-31.08,-58.28
AR000000015,"SAN JAIME DE ARRUABARRENA, AR",-30.03,-58.3
AR000000016,"SOLARI, AR",-29.37,-58.18
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6
AR000087065,"RIVADAVIA, AR",-24.167,-62.9
AR000087078,"LAS LOMITAS, AR",-24.7,-60.583
AR000087129,"SANTIAGO DEL ESTERO, AR",-27.767,-64.3
AR000087155,"RESISTENCIA AERO, AR",-27.45,-59.05
AR000087217,"LA RIOJA AERO., AR",-29.383,-66.817
AR000087257,"CERES AERO, AR",-29.883,-61.95
AR000087270,"RECONQUISTA AERO, AR",-29.183,-59.7
AR000087344,"CORDOBA AERO, AR",-31.317,-64.217
AR000087374,"PARANA AERO, AR",-31.783,-60.483
AR000087418,"MENDOZA AERO, AR",-32.833,-68.783
AR000087534,"LABOULAYE AERO, AR",-34.133,-63.367
AR000087623,"SANTA ROSA AERO, AR",-36.567,-64.266
AR000087692,"MAR DEL PLATA AERO, AR",-37.933,-57.583
AR000087715,"NEUQUEN AERO, AR",-38.95,-68.133
AR000087803,"ESQUEL AERO, AR",-42.933,-71.15
AR000087828,"TRELEW AERO, AR",-43.2,-65.266
AR000087860,"COMODORO RIVADAVIA, AR",-45.783,-67.5
AR000087925,"RIO GALLEGOS AERO, AR",-51.617,-69.283
AR000870470,"SALTA AERO, AR",-24.85,-65.483
AR000873050,"JACHAL, AR",-30.25,-68.75
AR000875440,"PEHUAJO AERO, AR",-35.867,-61.9
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483
AR000877500,"BAHIA BLANCA AERO, AR",-38.733,-62.167
ARM00087016,"ORAN, AR",-23.153,-64.329
ARM00087022,"GENERAL ENRIQUE MOSCONI TARTA, AR",-22.62,-63.794
ARM00087046,"JUJUY, AR",-24.393,-65.098
ARM00087121,"TENIENTE BENJAMIN MATIENZO, AR",-26.841,-65.105
ARM00087148,"PRESIDENCIA ROQUE SAENZ PENA, AR",-26.733,-60.483
ARM00087162,"FORMOSA, AR",-26.213,-58.228
ARM00087166,"CORRIENTES, AR",-27.446,-58.762
ARM00087178,"POSADAS, AR",-27.386,-55.971
ARM00087213,"CHILECITO AERO, AR",-29.233,-67.433
ARM00087222,"CATAMARCA, AR",-28.596,-65.752
ARM00087244,"VILLA MARIA DEL RIO, AR",-29.9,-63.683
ARM00087289,"PASO DE LOS LIBRES, AR",-29.689,-57.152
ARM00087311,"SAN JUAN, AR",-31.571,-68.418
ARM00087320,"CHAMICAL AERO, AR",-30.367,-66.283
ARM00087322,"CHEPES, AR",-31.333,-66.6
