PROVINCIA,DEPARTAMENTO,AÑO,RENDIMIENTO - KG X HA
Buenos Aires,25 de Mayo,1990,2201.0
Buenos Aires,9 de Julio,1990,2900.0
Buenos Aires,Adolfo Alsina,1990,1500.0
Buenos Aires,Adolfo Gonzales Chaves,1990,1057.0
Buenos Aires,Alberti,1990,2900.0
Buenos Aires,Arrecifes,1990,2201.0
Buenos Aires,Ayacucho,1990,1600.0
Buenos Aires,Azul,1990,2301.0
Buenos Aires,Bahía Blanca,1990,1350.0
Buenos Aires,Balcarce,1990,2100.0
Buenos Aires,Baradero,1990,1800.0
Buenos Aires,Benito Juárez,1990,1902.0
Buenos Aires,Bolívar,1990,2300.0
Buenos Aires,Bragado,1990,2900.0
Buenos Aires,Campana,1990,1857.0
Buenos Aires,Cañuelas,1990,1902.0
Buenos Aires,Capitán Sarmiento,1990,2204.0
Buenos Aires,Carlos Casares,1990,2400.0
Buenos Aires,Carlos Tejedor,1990,2200.0
Buenos Aires,Carmen de Areco,1990,2308.0
Buenos Aires,Castelli,1990,1611.0
Buenos Aires,Chacabuco,1990,2614.0
Buenos Aires,Chascomús,1990,2000.0
Buenos Aires,Chivilcoy,1990,2900.0
Buenos Aires,Colón,1990,2399.0
Buenos Aires,Coronel de Marina Leonardo Rosales,1990,1300.0
Buenos Aires,Coronel Dorrego,1990,1600.0
Buenos Aires,Coronel Pringles,1990,1501.0
Buenos Aires,Coronel Suárez,1990,2374.0
Buenos Aires,Daireaux,1990,2300.0
Buenos Aires,Exaltación de la Cruz,1990,2000.0
Buenos Aires,General Alvarado,1990,1907.0
Buenos Aires,General Alvear,1990,1906.0
Buenos Aires,General Arenales,1990,2400.0
Buenos Aires,General Belgrano,1990,2000.0
Buenos Aires,General Juan Madariaga,1990,2000.0
Buenos Aires,General La Madrid,1990,2200.0
Buenos Aires,General Pinto,1990,2350.0
Buenos Aires,General Pueyrredón,1990,2295.0
Buenos Aires,General Viamonte,1990,2250.0
Buenos Aires,General Villegas,1990,2200.0
Buenos Aires,Guaminí,1990,2200.0
Buenos Aires,Hipólito Yrigoyen,1990,2300.0
Buenos Aires,Junín,1990,2501.0
Buenos Aires,Laprida,1990,1250.0
Buenos Aires,Las Flores,1990,1906.0
Buenos Aires,Leandro N. Alem,1990,2450.0
Buenos Aires,Lincoln,1990,2400.0
Buenos Aires,Lobería,1990,2300.0
Buenos Aires,Lobos,1990,2196.0
Buenos Aires,Luján,1990,2200.0
Buenos Aires,Maipú,1990,1615.0
Buenos Aires,Mar Chiquita,1990,1907.0
Buenos Aires,Mercedes,1990,2900.0
Buenos Aires,Monte,1990,1896.0
Buenos Aires,Navarro,1990,2204.0
Buenos Aires,Necochea,1990,2650.0
Buenos Aires,Olavarría,1990,2300.0
Buenos Aires,Patagones,1990,1155.0
Buenos Aires,Pehuajó,1990,2311.0
Buenos Aires,Pellegrini,1990,2000.0
Buenos Aires,Pergamino,1990,2350.0
Buenos Aires,Pila,1990,1556.0
Buenos Aires,Puán,1990,1400.0
Buenos Aires,Ramallo,1990,2256.0
Buenos Aires,Rauch,1990,1907.0
Buenos Aires,Rivadavia,1990,2302.0
Buenos Aires,Rojas,1990,2400.0
Buenos Aires,Roque Pérez,1990,2208.0
Buenos Aires,Saavedra,1990,1800.0
Buenos Aires,Saladillo,1990,2098.0
Buenos Aires,Salliqueló,1990,1900.0
Buenos Aires,Salto,1990,2501.0
Buenos Aires,San Andrés de Giles,1990,2299.0
Buenos Aires,San Antonio de Areco,1990,2256.0
Buenos Aires,San Cayetano,1990,1742.0
Buenos Aires,San Nicolás,1990,2308.0
Buenos Aires,San Pedro,1990,1697.0
Buenos Aires,Suipacha,1990,2900.0
Buenos Aires,Tandil,1990,2399.0
Buenos Aires,Tapalqué,1990,2000.0
